Company,Violation,Date,Action,Case Number,Link
"Quality Title Insurance Agency, Inc",Failure  to enter Transactions into the RREAL IN,2015-10-09,$3520  administrative penalty,14358-AG15-0915-246,https://www.in.gov/idoi/files/enforcement/14358-AG15-0915-246.pdf
"Quality Title Insurance Agency, Inc.",Employed  Non-Licensed Agent,2014-12-19,Fine  $4300.00,12973-AG14-0519-092,https://www.in.gov/idoi/files/enforcement/12973-AG14-0519-092b.pdf
"R.E. Chaix & Assoc. Ins. Brokers, Inc.",Surplus  Lines Tax Violation,2019-12-05,$500.00  fine,18522-AG19-1113-165,https://www.in.gov/idoi/files/enforcement/18522-AG19-1113-165.pdf
"Radian Settlement Services, Inc",Failure  to enter RREAL Transactions,2022-11-22,$1750  civil penalty,21272-AG22-0413-066,https://www.in.gov/idoi/files/enforcement/21272-AG22-0413-066.pdf
Randolph County Abstract LLC,Failure  to adhere to the Good Funds Law,2015-07-17,$500  Administrative Fine,14161-AG15-0629-180,https://www.in.gov/idoi/files/enforcement/14161-AG15-0629-180.pdf
"Rarick's TV, Inc.",Failure  to submit list of appointments,2007-05-25,License  Suspension,5440-AG07-0521-135,https://www.in.gov/idoi/files/enforcement/5440-AG07-0521-135b.pdf
"Ravenswood Title Company, LLC",Failure  to enter RREAL Transactions,2022-08-04,"$3,200  fine",21271-AG22-0413-067,https://www.in.gov/idoi/files/enforcement/21271-AG22-0413-067.pdf
"Real Advantage, LLC","Fail to  collect TIEFF, Unlicensed Personnel, and Fail to Timely Input into RREAL IN  Database",2015-06-05,"$9,657  Fine and Implement Polices to Maintain Compliance",13602-AG15-0518-130,https://www.in.gov/idoi/files/enforcement/13602-AG15-0518-130.pdf
"Real Property Title Company, LLC",No License,2009-03-09,"$2,040 Civil Penalty",7736-AG09-0216-042,https://www.in.gov/idoi/files/enforcement/1114_001.pdf
"Recynt Insurance & Financial Services,  Inc.",Lack of  Fitness/Trustworthiness,2007-11-30,3 year  Probation,3164-AG07-0622-153,https://www.in.gov/idoi/files/enforcement/3164-AG07-0622-153c.pdf
Regional Excess Underwriters LLC,Failure  to Report Surplus Lines Tax,2018-06-08,$250  Fine,16209-AG17-0509-101,https://www.in.gov/idoi/files/enforcement/16209-AG17-0509-101.pdf
Regional Land Title Co.,Fail to  input into RREAL IN database,2015-05-08,$8250  Fine,13469-AG15-0429-118,https://www.in.gov/idoi/files/enforcement/13469%20regional%20land.pdf
Regional Title Services of Washington LLC,104  Transactions on lapsed licensure,2019-06-27,Civil  Penalty $3646.00,18273-AG19-0528-073,https://www.in.gov/idoi/files/enforcement/18273-AG19-0528-073.pdf
"Reltco, Inc",Failure  to report real estate transactions into RREAL within Statutorily required  time period,2022-05-09,$900.00  Civil Penalty,20978-AG22-0104-002,https://www.in.gov/idoi/files/enforcement/20978-AG22-0104-002.pdf
"Renaissance Title Company, Inc.",Failure  to enter RREAL transactions into database,2014-06-19,$1090.00  Fine,12284-AG14-0430-070,https://www.in.gov/idoi/files/enforcement/12284-AG14-0430-070b.pdf
RES/Title Inc.,"Overcharging  Premiums, Fail to Collect TIEFF, Unlicensed Personnel, Fail to input into  RREAL IN",2015-12-18,"$2,519  Fine, $1,381.50 Refund to Consumers",13607-AG15-1110-290,https://www.in.gov/idoi/files/enforcement/13607-AG15-1110-290.pdf
"Resource Real Estate Services, LLC",Over  charging Premium fees,2019-09-13,"$18331.06  Restitution & $10,000.00 Civil fine",18222-AG19-0802-102,https://www.in.gov/idoi/files/enforcement/18222-AG19-0802-102.pdf
"RETS, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5645-AG07-0827-243,https://www.in.gov/idoi/files/enforcement/5645-AG07-0827-243b.pdf
"Rivertowne Title, LLC",Failure  to enter RREAL Transactions,2022-10-06,$1200  civil penalty,21457-AG22-0629-107,https://www.in.gov/idoi/files/enforcement/21457-AG22-0629-107.pdf
RKM Insurance Services,Failure  to Disclose Admin Action,2023-06-29,$500  Fine,22110-AG23-0206-024,https://www.in.gov/idoi/files/enforcement/22110-AG23-0206-024.pdf
"Robison, Warren and Hale Abstract Co.",Lack of Fitness/Trustworthiness,2015-07-13,"Fine  $10,000",12560-CO14-0317-002,https://www.in.gov/idoi/files/enforcement/12560-CO14-0317-002.pdf
Rounsavall Title Group LLC,Excessive  Fees,2016-01-08,Fine,14033-AG15-1201-305,https://www.in.gov/idoi/files/enforcement/14033-AG15-1201-305.pdf
"RPX Insurance Services, LLC",Failure  to submit list of appointments,2015-09-24,Vacate  Suspension Order,13762-AG15-0303-076,https://www.in.gov/idoi/files/enforcement/13762-AG15-0303-076b.pdf
"Sabal insurance Group, Inc",Failure  to Disclose Other states action,2017-11-09,License  Denial,16067-AD17-0329-044,https://www.in.gov/idoi/files/enforcement/16067-AD17-0329-044b.pdf
Safeco Insurance Company of America,Unfair Insurance Practices,2010-08-06,$5000 Administrative Fine,9372-CO10-0718-008,https://www.in.gov/idoi/files/enforcement/9372%20safeco%20fo_001.pdf
"Salem Insurance Agency, Inc.",Lack of  Fitness/Trustworthiness,2006-05-19,$5000.00  Restitution,3078-AG05-1220-158,https://www.in.gov/idoi/files/enforcement/3078-AG05-1220-158c.pdf
"Scottish American Insurance General Agency,  Inc",Failure  to submit list of appointments,2015-09-02,Lift of  Suspension order,13759-AG15-0303-073,https://www.in.gov/idoi/files/enforcement/13759-AG15-0303-073c.pdf
"Security Title Services, LLC.",Lack of  fitness/Trustworthiness,2008-06-11,$500.00  fine,6810-AG08-0527-133,https://www.in.gov/idoi/files/enforcement/6810-AG08-0527-133b.pdf
Seguro Medico LLC,Suspension  order,2023-03-14,Suspension  order lifted,21979-AG23-0210-029b,https://www.in.gov/idoi/files/enforcement/21979-AG23-0210-029b.pdf
Senior Solutions,Failure  to submit list of appointments,2006-07-21,Vacate  Suspension Order,3315-AG06-0710-106,https://www.in.gov/idoi/files/enforcement/3315-AG06-0710-106b.pdf
ServiceLink LLC,Failure  to enter RREAL transactions into database,2022-11-22,"$67,175  civil penalty",21512-AG22-0831-152,https://www.in.gov/idoi/files/enforcement/21512-AG22-0831-152.pdf
"Servicios Y Seguros Para Los Latinos, Inc.",Unlicensed  Agency,2014-03-21,Additional  Education Requirements,11642-AG13-0429-028,https://www.in.gov/idoi/files/enforcement/11642-AG13-0429-028b.pdf
"SingleSource Property Solutions, LLC",Failed  to enter 27 transactions in RREAL,2022-10-26,$925  civil penalty,21516-AG22-0727-126,https://www.in.gov/idoi/files/enforcement/21516-AG22-0727-126.pdf
"Smart Data Solution, American Trade  Association; Serve America Assurance",No License,2009-08-28,Cease & Desist Order,8351-CO09-0825-015,https://www.in.gov/idoi/files/enforcement/8351%20serve%20am%20cd_001.pdf
"Sojourners Land Trust, LLC",Failure  to input RREAL into Database,2019-08-29,$900.00  Fine,18398-AG19-0808-110,https://www.in.gov/idoi/files/enforcement/18398-AG19-0808-110.pdf
"Southeastern Indiana Health Organization,  Inc",Unfair Insurance Practices,2010-08-27,"$19,395 Administrative Fine",9695-AG10-0903-136,https://www.in.gov/idoi/files/enforcement/9695%20siho%20fo_001.pdf
Springdale Title LLC,Over  charging on premiums,2017-02-24,$1182.00  Fine,15647-AG17-0125-043,https://www.in.gov/idoi/files/enforcement/15647-AG17-0125-043b.pdf
"Spruce Land Services, LLC",Failure  to enter RREAL transactions into database,2022-11-22,$2070  civil penalty,21521-AG22-0902-154,https://www.in.gov/idoi/files/enforcement/21521-AG22-0902-154.pdf
"StarGroup UK, LTD",No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
Starkweather & Shepley Inc,Failure  to Timely Report Other States Actions,2015-08-21,$750  administrative fine,14393-AG15-0727-214,https://www.in.gov/idoi/files/enforcement/14393-AG15-0727-214.pdf
State Farm Fire and Casualty Company,Agreement to Resolve Market Conduct Exam,2009-05-20,"$275,000 Payment to General Fund",IDOI MC  07 0302 039,https://www.in.gov/idoi/files/enforcement/State%20Farm%20Final%20Order%20and%20Agreement.pdf
Stewart Title Company,Failure  to enter RREAL transactions into database,2015-01-23,"Administrative  Penalty 59,400.00",12953-AG14-1007-182,https://www.in.gov/idoi/files/enforcement/12953-AG14-1007-182b.pdf
"Strategic National Title Group, LLC",Failure  to timely report Other states action,2020-01-31,$1000.00  fine/1 Year Probation,18843-AG19-1216-203,https://www.in.gov/idoi/files/enforcement/18843-AG19-1216-203.pdf
"Sunshine State Underwriting Agencies, Inc",Surplus  Lines Tax Violation,2015-03-06,License  Suspended,13743-AG15-0303-066,https://www.in.gov/idoi/files/enforcement/13743%20sunshine.pdf
"TCB Transportation Insurance, Inc.",Lack of  Fitness/Trustworthiness/Unlicensed Employee negotiated Coverage,2019-08-01,$1000.00  Civil Penalty/$19430.24 Restitution/$356.00 refund to a customer,17270-AG19-0226-030,https://www.in.gov/idoi/files/enforcement/17270-AG19-0226-030.pdf
"Terra Administrators, Inc.",Surplus  Lines Tax Violation,2015-06-12,Lift of  Suspension order,13756-AG15-0303-072,https://www.in.gov/idoi/files/enforcement/13756-AG15-0303-072b.pdf
"Terra Title, LLC",Failure  to enter RREAL transactions into database,2022-12-08,$3000  civil penalty,21789-AG22-1004-174,https://www.in.gov/idoi/files/enforcement/21789-AG22-1004-174.pdf
The Farmington Company,Failure  to report Other State Actions,2016-07-19,$500  Fine,14893-AG16-0406-085,https://www.in.gov/idoi/files/enforcement/14893-AG16-0406-085.pdf
"The Medical Assurance Company, Inc",Market Conduct Exam,2009-12-16,Department Resolution,IDOI-MC07-0309-040,https://www.in.gov/idoi/files/enforcement/ExecutedAgreedFO12-16-09.pdf
The Title Search Company,Misappropriation  of Premiums,2006-07-11,License  Permanently Revoked,3326-AG06-0323-044,https://www.in.gov/idoi/files/enforcement/3326-AG06-0323-044c.pdf
"Thompson Insurance & Financial  Services, Inc.",Lack of Fitness/Trustworthiness,2010-02-09,$250 Administrative Fine,9036-AG10-0129-029,https://www.in.gov/idoi/files/enforcement/9036%20thompson%20fo_001.pdf
Ticor Title Insurance Company,Dishonest Practices,2011-01-06,"$2,000 Administrative Fine; $500 Restitution",9259-CO10-1119-013,https://www.in.gov/idoi/files/enforcement/9259%20ticor%20fo_001.pdf
"Tier 1 Title, LLC",Failure  to input Real Estate transaction within the statutorily required time period,2019-07-12,"$2,200.00  Civil Penalty",17920-AG19-0401-040,https://www.in.gov/idoi/files/enforcement/17920-AG19-0401-040B.pdf
"Title & Abstract Agency of America, Inc",Failure  to disclose other states actions on app.,2022-11-22,$500  civil penalty,21692-AG22-0805-141,https://www.in.gov/idoi/files/enforcement/21692-AG22-0805-141.pdf
Title Clearing & Escrow LLC,Failed  to enter 72 RREAL transactions,2023-04-05,"$2,050  civil penalty",21795-AG22-1207-204,https://www.in.gov/idoi/files/enforcement/21795-AG22-1207-204.pdf
"Title First Agency, Inc.",Employed  Non-Licensed Agent,2015-01-30,$1850.00  fine,12994-AG14-1007-177,https://www.in.gov/idoi/files/enforcement/12994-AG14-1007-177b.pdf
"Title Guaranty and Abstract Compnay, Inc",Delay in  Issuance of Final Policies,2017-05-25,"$1,140  Fine",16048-AG17-0424-085,https://www.in.gov/idoi/files/enforcement/16048-AG17-0424-085.pdf
"Title Links, LLC",Employed  Non-Licensed Agent,2012-05-10,$250.00  fine,11101-CO12-0419-010,https://www.in.gov/idoi/files/enforcement/11101-CO12-0419-010b.pdf
"Title Now Services, LLC",Lack of  Fitness/Trustworthiness,2006-03-07,"Reimburse  Stewart Title Company $33,748.40",2253-AG06-0127-014,https://www.in.gov/idoi/files/enforcement/2253-AG06-0127-014b.pdf
"Title Services, LLC",Employed  Non-Licensed Agent,2014-12-19,"Administrative  Penalty $18,855.00",12975-AG14-1008-184,https://www.in.gov/idoi/files/enforcement/12975-AG14-1008-184b.pdf
Title Solutions Plus Corp.  f/k/a Title Solutions Agency of Indiana,Illegal  Practices,2008-05-09,Permanent  Cease & Desist,6041-AG08-0205-024,https://www.in.gov/idoi/files/enforcement/6041-AG08-0205-024b.pdf
TownerRIsk Management Corp.,Failure  to submit list of appointments,2015-11-09,Lift of  Suspension order,13713-AG15-0303-052,https://www.in.gov/idoi/files/enforcement/13713-AG15-0303-052c.pdf
"Trademark Title, Inc",Failure  to enter 749 RREAL transactions,2023-04-27,$7890  civil penalty,22917-AG23-0210-028,https://www.in.gov/idoi/files/enforcement/22917-AG23-0210-028.pdf
Transtar National Inc,Failure  to input RREAL transactions,2023-02-16,"$5,530 fine",21893-AG23-0113-007,https://www.in.gov/idoi/files/enforcement/21893-AG23-0113-007.pdf
Travelers Property Casualty Company of  America,Claim Handling,2011-01-14,"$1,000 Fine",9969-CO10-1217-015,https://www.in.gov/idoi/files/enforcement/9969%20travelers%20fo_001.pdf
"True Title Service, LLC",Fail to  input into RREAL IN database,2015-06-26,$500  Fine,13678-AG15-0605-160,https://www.in.gov/idoi/files/enforcement/13678-AG15-0605-160.pdf
"True Title, LLC",Failure  to timely report RREAL in data Base,2021-08-11,$5230.00  Civil Penalty,20375-AG21-0427-093,https://www.in.gov/idoi/files/enforcement/20375-AG21-0427-093.pdf
"Trustworthy Land Title Company, Inc.",Employed Unlicensed Individual,2011-03-02,"$6,000 Administrative Fine",9392-CO11-0103-001,https://www.in.gov/idoi/files/enforcement/9392%20trustworthy%20fo_001.pdf
"TTEC Healthcare Solutions, Inc",Failure  to report 3 administrative actions,2022-11-10,$750  civil penalty,21683-AG22-0818-145,https://www.in.gov/idoi/files/enforcement/21683-AG22-0818-145.pdf
U.S. Specialty Insurance Company,Claim Handling,2010-11-05,"$2,500 Administrative Fine",9292-CO10-0624-007,https://www.in.gov/idoi/files/enforcement/9292%20us%20specialty%20fo_001.pdf
Unicare Life and Health Company,Non  Compliance of Health Claim,2008-05-09,$2063.00  Fine within 30 days,6738-CO08-0423-008,https://www.in.gov/idoi/files/enforcement/6738-CO08-0423-008b.pdf
Unique Insurance Company,Claim Handling,2011-09-28,"$5,000 Administrative Fine",10616-CO11-0913-013,https://www.in.gov/idoi/files/enforcement/10616%20unique%20ins%20fo_001.pdf
Unique Insurance Company,Market  Conduct Exam,2015-03-17,"$125,000  Fine",13857-CO15-0223-001,https://www.in.gov/idoi/files/enforcement/13857%20unique.pdf
Unisource national Lender Services LLC,Failed  to Timely Report Real Estate Transactions,2018-05-07,"$1,240  Fine",16378-CO18-0108-001,https://www.in.gov/idoi/files/enforcement/16378-CO18-0108-001.pdf
United Farm Family Mutual Insurance Company,Lack of  Fitness/Trustworthiness,2008-05-12,$500.00  Penalty,6616-CO08-0418-007,https://www.in.gov/idoi/files/enforcement/6616-CO08-0418-007b.pdf
United Financial Systems Corp.,Market Conduct Exam,2011-08-18,"Permanent Revocation of License; $30,000  Administrative Fine; $74,909 Restitution",9491-MC10-0809-002,https://www.in.gov/idoi/files/enforcement/9491%20united%20finan%20fo_001.pdf
United Health Care Insurance Company,Claim  Handling,2009-08-19,$3500.00  Administrative fine,6441-CO09-0305-007,https://www.in.gov/idoi/files/enforcement/6441-CO09-0305-007b.pdf
United Health Care Insurance Company,Claim Handling,2010-07-06,$1500 Administrative Fine,9116-CO10-0524-006,https://www.in.gov/idoi/files/enforcement/9116%20unitedhc%20fo_001.pdf
United Healthcare Insurance Company,Failure  to respond to Consumer Complaint W/in 20 days,2005-03-18,$1500.00  fine,1523-CO05-0217-006,https://www.in.gov/idoi/files/enforcement/1523-CO05-0217-006b.pdf
Universal Adjusting Corporation,Unfair  Claims,2018-06-08,"$2,500  Fine",16505-CO17-1120-003,https://www.in.gov/idoi/files/enforcement/16505-CO17-1120-003.pdf
"Vantage Point Title, Inc",Failed  to input RREAL transactions,2023-03-16,"$23,510  fine",21890-AG23-0202-020,https://www.in.gov/idoi/files/enforcement/21890-AG23-0202-020.pdf
Vetinsure LLC,Failure  to Disclose Previous License Denial,2017-06-16,License  Denial,16279-AD17-0612-061,https://www.in.gov/idoi/files/enforcement/16279-AD17-0612-061.pdf
"Vetinsure, LLC",License  Denied by another state,2023-09-19,License  Denial,21988-AD22-1229-132,https://www.in.gov/idoi/files/enforcement/21988-AD22-1229-132.pdf
Victory Title Inc,Failure  to enter 155 RREAL transactions,2023-04-24,"$1,950  civil penalty",22164-AG23-0302-043,https://www.in.gov/idoi/files/enforcement/22164-AG23-0302-043.pdf
"VIMO, Inc.",Marketing and Sales,2010-06-04,$1500 Administrative Fine,9113-AG10-0517-102,https://www.in.gov/idoi/files/enforcement/9113%20vimo%20fo_001.pdf
Waites & Foshee Ins Inc.,Failure  to Disclose on License Application,2016-08-25,$250  Fine,15355-AG16-0614-131,https://www.in.gov/idoi/files/enforcement/15355-AG16-0614-131.pdf
"Weiler Law Offices, Inc.",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-06-23,"Fine  $18,500.00",15190-AG16-0505-115,https://www.in.gov/idoi/files/enforcement/15190-AG16-0505-115b.pdf
Western & Southern Life Insurance  Company,Multi-State  Race-Based Settlement Per F/O,2005-11-01,$1336.61  fine,2852,https://www.in.gov/idoi/files/enforcement/2852b.pdf
WFG Lender Services LLC,Failed  to Report Transactions,2017-10-20,"$4,580  Fine",16386-AG17-0912-168,https://www.in.gov/idoi/files/enforcement/16386-AG17-0912-168.pdf
Worldwide Family Benefits Association c/o  George Katos & Associates,No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
"WT&S Title, LLC",Failure  to input Real-Estate policies into the RREAL-IN database,2015-04-17,$2550  Fine,13811-AG15-0326-087,https://www.in.gov/idoi/files/enforcement/13811%20wt&s.pdf
"Your Title Company, Inc. dbs Enterprise  Title",Failure  to enter Transactions into the RREAL IN,2015-08-31,$1750  administrative penalty,14355-AG15-0812-228,https://www.in.gov/idoi/files/enforcement/14355-AG15-0812-228.pdf
"YZ Financial Services and Insurance, LLC",Failure to Disclose Administrative Action,2023-09-26,$250 Civil Penalty,22425-AG23-0717-095,https://www.in.gov/idoi/files/enforcement/22425-AG23-0717-095.pdf
